source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Videomanagementsystems,videomanagementsystems
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Guard,guard
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"CompatiblewithAXISCameraStationEdge,","compatiblewithaxiscamerastationedge,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,SupportforAXISCameraApplicationPlatformenabling,supportforaxiscameraapplicationplatformenabling
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"AXISCameraStationPro,AXISCameraStation5,and","axiscamerastationpro,axiscamerastation5,and"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"installationofthird-partyapplications,seeaxis.com/","installationofthird-partyapplications,seeaxis.com/"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,videomanagementsoftwarefromAxis’partners,videomanagementsoftwarefromaxis’partners
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,acap,acap
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,availableataxis.com/vms.,availableataxis.com/vms.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Approvals,approvals
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Onscreencontrols,onscreencontrols
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Videostreamingindicator,videostreamingindicator
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Widedynamicrange,widedynamicrange
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Product markings,product markings
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Privacymasks,privacymasks
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"CE,ECE,KC,RCM,UL/cUL,UKCA,VCCI,WEEE","ce,ece,kc,rcm,ul/cul,ukca,vcci,weee"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Eventconditions,eventconditions
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Supply chain,supply chain
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"Devicestatus:aboveoperatingtemperature,aboveor","devicestatus:aboveoperatingtemperature,aboveor"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,TAAcompliant,taacompliant
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"belowoperatingtemperature,belowoperating","belowoperatingtemperature,belowoperating"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,NDAAcompliant,ndaacompliant
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"temperature,IPaddressremoved,networklost,newIP","temperature,ipaddressremoved,networklost,newip"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"address,storagefailure,systemready,withinoperating","address,storagefailure,systemready,withinoperating"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,temperature EMC,temperature emc
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"Edgestorage:recordingongoing,storagedisruption EN55032ClassA,EN55035,EN61000-6-1,","edgestorage:recordingongoing,storagedisruption en55032classa,en55035,en61000-6-1,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"I/O:manualtrigger,virtualinput EN61000-6-2,ECER10rev.06(Eapproval),EN50498,","i/o:manualtrigger,virtualinput en61000-6-2,ecer10rev.06(eapproval),en50498,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,MQTTsubscribe Australia/NewZealand:RCMAS/NZSCISPR32ClassA,mqttsubscribe australia/newzealand:rcmas/nzscispr32classa
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Scheduledandrecurring:scheduledevent Canada:ICES-3(A)/NMB-3(A),scheduledandrecurring:scheduledevent canada:ices-3(a)/nmb-3(a)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"Video:averagebitratedegradation,livestreamopen, Japan:VCCIClassA,","video:averagebitratedegradation,livestreamopen, japan:vcciclassa,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"tampering Korea:KSC9835,KSC9832ClassA,","tampering korea:ksc9835,ksc9832classa,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,USA:FCCPart15SubpartBClassA,usa:fccpart15subpartbclassa
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,Safety,safety
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"IEC/EN/UL62368-1,CAN/CSAC22.2No.62368-1,","iec/en/ul62368-1,can/csac22.2no.62368-1,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,UNECER118,unecer118
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,IS13252,is13252
